Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Arvydas                 Jankauskas                      8         5         8         3         3         7         3        10         2         3         7         5         6         3         5         3
Matas                   Kazlauskas                      6         6         5         5         1         8         4         3         3         8         5         4         5         5         5         7
Nojus                   Stankevicius                      8         3         2         7         7         9         5        10         9         9        10         4         3         3         8         5
Ignas                   Petrauskas                      7         9         8         9         6         8         8         8         3         9         5         2         5         5         5         1
Rokas                   Baltrunas                      7         4         6         5         8         2         1         2         8         9         1         6         5         5         2         9
Lukas                   Vaiciulis                     10         4        10        10         2         3        10         7         8         5         3         9         5         1         5         2
Deividas                Gudaitis                      8         4         5         2         8         9         2         3         8        10         8         7         3         5         9         9
Arnas                   Juska                      3         5         2         1         3         8         3         6         7        10         9         8         9         8         4         1
Mantas                  Maciulis                      5         4         9         5         2         5         3         6         9         7        10         9        10         9         8         7
Rytis                   Tamosiunas                      9         2         6         5         7         1         2         1         6         2         5         1         1         9        10         4
